"STYLE_CD","COUNT(*)"
AXDS50311,1
AXEA41211,1
AXEA41231,1
AXEA45211,1
AXEA47211,2
AXEM44111,1
AXEM45131,1
AXEM45221,2
AXEM47111,1
AXEM47121,1
AXEM49111,1
AXEM49211,1
AXEM52221,3
AXEM52711,3
AXEM53221,3
AXEM54411,3
AXES47111,2
AXES47131,1
AXES47511,1
AXES52311,1
AXES53221,1
AXEW45411,1
AXEW47321,1
AXFA41211,1
AXFBA17172,3
AXFBM16212,3
AXFBM17321,3
AXFBS16172,3
AXFBS16271,3
AXFBS17311,3
AXFBW15213,3
AXFBW15231,3
AXFBW16283,3
AXFCA15323,3
AXFCA16172,3
AXFCA16211,3
AXFCA17171,3
AXFCM16212,3
AXFCM16274,3
AXFCM17322,3
AXFCS16171,3
AXFCS16231,3
AXFCS17272,4
AXFCW15225,3
AXFCW15226,3
AXFCW15231,3
AXFCW15273,9
AXFCW15274,3
AXFFA16111,6
AXFFA17432,3
AXFFA17531,3
AXFFM16433,3
AXFFM17424,3
AXFFM17477,3
AXFFM17482,3
AXFFS16272,3
AXFFS16532,3
AXFFW15477,6
AXFFW16524,3
AXFFW17473,3
AXFFW17474,3
AXFFW17574,6
AXFGA15214,5
AXFGA16492,3
AXFGM16215,3
AXFGM16475,3
AXFGM17524,3
AXFGM17572,3
AXFGS16471,4
AXFGS16512,3
AXFGS16521,3
AXFGW16488,3
AXFGW17433,3
AXFGW17481,3
AXFM44121,1
AXFM45431,1
AXFM45511,1
AXFM47511,1
AXFM55211,3
AXFM55611,3
AXFM55811,3
AXFM55921,3
AXFS49211,1
AXFS58111,1
AXFW44111,1
AXFW44221,1
AXFW47111,1
AXFW47411,1
AXFW47611,1
AXGA44311,1
AXGA47141,1
AXGA47211,1
AXGA47221,1
AXGM44131,2
AXGM44611,1
AXGM45511,1
AXGM46111,1
AXGM46711,1
AXGM46921,1
AXGM48411,1
AXGM48421,1
AXGM48531,1
AXGM48541,1
AXGM51211,4
AXGM51511,7
AXGM52121,4
AXGM55611,3
AXGM56311,7
AXGM56531,3
AXGM56721,3
AXGS44411,1
AXGS49111,1
AXGS55311,4
AXGS56221,4
AXGS56421,7
AXGW43111,1
AXGW43211,1
AXGW45311,1
AXGW45321,1
AXGW46331,1
AXHS44111,1
AXHS44211,1
AXHW47131,1
AXHW47311,2
AXHW47711,1
AXIA44221,1
AXIS45021,1
AXIS45031,1
AXIS49021,1
AXIS49611,1
AXIS54311,1
AXIS54611,1
AXIS54821,1
AXIW41221,1
AXIW41431,1
AXIW44211,1
AXIW44511,1
AXIW44621,1
AXIW47121,1
AXIW47221,1
AXIW47231,1
AXIW47611,1
AXIW47711,1
AXJA44221,1
AXJAA18152,3
AXJAA18154,3
AXJAM18111,3
AXJAW18147,3
AXJAW21731,3
AXJBA17131,4
AXJBM17311,6
AXJBM17332,4
AXJBM19722,3
AXJBM19772,3
AXJBS16542,3
AXJBW16316,3
AXJBW17211,3
AXJBW17213,3
AXJBW19584,3
AXJCA15411,3
AXJCA15521,6
AXJCA20261,3
AXJCA20262,3
AXJCM16002,1
